tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison
57071,NULL,"RB Leipzig",1,PéterGulácsi,NULL,Torwart,2025_2026
57845,NULL,"FC Augsburg",5,TobiasStrobl,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
57990,NULL,"SV 07 Elversberg",4,KevinConrad,NULL,"Abwehr - Innenverteidiger",2022_2023
57990,NULL,"SV 07 Elversberg",4,KevinConrad,NULL,"Abwehr - Innenverteidiger",2023_2024
58358,NULL,"FC Bayern München",25,ThomasMüller,NULL,"Sturm - Hängende Spitze",2022_2023
58358,NULL,"FC Bayern München",25,ThomasMüller,NULL,"Sturm - Hängende Spitze",2023_2024
58358,NULL,"FC Bayern München",25,ThomasMüller,NULL,"Sturm - Hängende Spitze",2024_2025
58396,NULL,"SV Werder Bremen",36,ChristianGroß,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
58396,NULL,"SV Werder Bremen",36,ChristianGroß,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
58995,NULL,"SV Werder Bremen",3,AnthonyJung,NULL,"Abwehr - Innenverteidiger",2022_2023
58995,NULL,"SV Werder Bremen",3,AnthonyJung,NULL,"Abwehr - Innenverteidiger",2023_2024
58995,NULL,"SV Werder Bremen",3,AnthonyJung,NULL,"Abwehr - Innenverteidiger",2024_2025
58995,NULL,"SC Freiburg",5,AnthonyJung,NULL,"Abwehr - Innenverteidiger",2025_2026
60957,NULL,"FC Schalke 04",40,SebastianPolter,NULL,"Sturm - Mittelstürmer",2022_2023
60957,NULL,"FC Schalke 04",40,SebastianPolter,NULL,"Sturm - Mittelstürmer",2023_2024
60957,NULL,"FC Schalke 04",NULL,SebastianPolter,NULL,"Sturm - Mittelstürmer",2024_2025
61087,NULL,"Bayer 04 Leverkusen",38,KarimBellarabi,NULL,"Sturm - Rechtsaußen",2022_2023
61758,NULL,"SV 07 Elversberg",30,KevinKoffi,NULL,"Sturm - Mittelstürmer",2022_2023
61758,NULL,"SV 07 Elversberg",30,KevinKoffi,NULL,"Sturm - Mittelstürmer",2023_2024
69392,NULL,"SC Paderborn 07",39,AdrianoGrimaldi,NULL,"Sturm - Mittelstürmer",2023_2024
69392,NULL,"SC Paderborn 07",39,AdrianoGrimaldi,NULL,"Sturm - Mittelstürmer",2024_2025
69392,NULL,"SC Paderborn 07",NULL,AdrianoGrimaldi,NULL,"Sturm - Mittelstürmer",2025_2026
70243,NULL,"RB Leipzig",23,MarcelHalstenberg,NULL,"Abwehr - Innenverteidiger",2022_2023
