tm_id,saison,market_value_eur,last_updated,updated_at
51676,2022_2023,1000000,NULL,2022-11-09
52348,2022_2023,1000000,NULL,2022-06-09
52348,2022_2023,700000,NULL,2022-11-09
52348,2022_2023,0,NULL,2022-12-06
53400,2022_2023,1000000,NULL,2022-03-23
53400,2022_2023,900000,NULL,2022-06-16
53400,2022_2023,900000,NULL,2022-11-09
53400,2023_2024,750000,NULL,2023-06-22
53400,2023_2024,600000,NULL,2023-12-15
53400,2024_2025,400000,NULL,2024-03-22
53400,2024_2025,300000,NULL,2024-06-06
53400,2024_2025,300000,NULL,2024-12-19
53418,2022_2023,6000000,NULL,2022-06-09
53418,2022_2023,5000000,NULL,2022-11-09
53418,2023_2024,3500000,NULL,2023-06-22
53418,2023_2024,3500000,NULL,2023-12-14
53418,2024_2025,3500000,NULL,2024-05-29
53418,2024_2025,3000000,NULL,2024-12-20
53418,2025_2026,2500000,NULL,2025-06-05
53418,2025_2026,2000000,NULL,2025-12-19
55089,2022_2023,4500000,NULL,2022-06-09
55089,2022_2023,4500000,NULL,2022-11-09
55089,2023_2024,4000000,NULL,2023-06-22
55089,2023_2024,4000000,NULL,2023-12-14
55089,2024_2025,3000000,NULL,2024-05-29
55089,2024_2025,3000000,NULL,2024-12-20
55089,2025_2026,3000000,NULL,2025-06-05
55089,2025_2026,3000000,NULL,2025-12-19
55099,2022_2023,2500000,NULL,2022-06-09
55099,2022_2023,2500000,NULL,2022-11-09
55099,2023_2024,2500000,NULL,2023-06-22
55099,2023_2024,2000000,NULL,2023-12-14
55099,2024_2025,2000000,NULL,2024-05-29
55099,2024_2025,1000000,NULL,2024-10-09
55099,2024_2025,700000,NULL,2024-12-20
55099,2025_2026,500000,NULL,2025-06-05
55099,2025_2026,500000,NULL,2025-12-19
55597,2022_2023,275000,NULL,2022-06-16
55597,2022_2023,275000,NULL,2022-12-08
55597,2023_2024,300000,NULL,2023-06-13
55597,2023_2024,250000,NULL,2023-12-15
57051,2022_2023,1500000,NULL,2022-06-09
57051,2022_2023,1500000,NULL,2022-11-09
57071,2022_2023,8000000,NULL,2022-06-09
57071,2022_2023,6000000,NULL,2022-11-09
57071,2023_2024,5000000,NULL,2023-06-22
57071,2023_2024,3500000,NULL,2023-10-18
57071,2023_2024,3500000,NULL,2023-12-14
57071,2024_2025,3000000,NULL,2024-05-29
57071,2024_2025,2500000,NULL,2024-12-20
57071,2025_2026,2000000,NULL,2025-06-05
57071,2025_2026,2000000,NULL,2025-12-19
57845,2022_2023,900000,NULL,2022-06-09
57845,2022_2023,700000,NULL,2022-11-09
57990,2022_2023,200000,NULL,2022-06-28
57990,2022_2023,225000,NULL,2022-12-08
57990,2023_2024,225000,NULL,2023-06-13
57990,2023_2024,225000,NULL,2023-12-15
58358,2022_2023,22000000,NULL,2022-06-09
58358,2022_2023,18000000,NULL,2022-11-09
58358,2023_2024,12000000,NULL,2023-06-22
58358,2023_2024,10000000,NULL,2023-12-14
58358,2024_2025,8000000,NULL,2024-05-29
58358,2024_2025,6000000,NULL,2024-12-20
58396,2022_2023,500000,NULL,2022-06-16
58396,2022_2023,500000,NULL,2022-11-09
58396,2023_2024,500000,NULL,2023-06-22
58396,2023_2024,300000,NULL,2023-12-14
58995,2022_2023,1000000,NULL,2022-06-16
58995,2022_2023,1000000,NULL,2022-11-09
58995,2023_2024,1500000,NULL,2023-03-29
58995,2023_2024,1500000,NULL,2023-06-22
58995,2023_2024,1000000,NULL,2023-10-18
58995,2023_2024,1000000,NULL,2023-12-14
58995,2024_2025,1000000,NULL,2024-05-29
58995,2024_2025,1000000,NULL,2024-12-20
58995,2025_2026,1000000,NULL,2025-06-05
58995,2025_2026,700000,NULL,2025-12-19
60957,2022_2023,2200000,NULL,2022-06-09
60957,2022_2023,1700000,NULL,2022-11-09
60957,2023_2024,800000,NULL,2023-06-22
60957,2023_2024,700000,NULL,2023-12-15
60957,2024_2025,500000,NULL,2024-05-29
60957,2024_2025,300000,NULL,2024-09-25
60957,2024_2025,300000,NULL,2024-12-19
61087,2022_2023,3000000,NULL,2022-06-09
61087,2022_2023,2500000,NULL,2022-11-09
61758,2022_2023,50000,NULL,2022-06-28
61758,2022_2023,75000,NULL,2022-10-05
61758,2022_2023,75000,NULL,2022-12-08
61758,2023_2024,100000,NULL,2023-06-13
61758,2023_2024,100000,NULL,2023-12-15
69392,2023_2024,400000,NULL,2023-06-13
69392,2023_2024,400000,NULL,2023-12-15
69392,2024_2025,400000,NULL,2024-06-06
69392,2024_2025,400000,NULL,2024-12-19
69392,2025_2026,350000,NULL,2025-06-19
69392,2025_2026,350000,NULL,2025-12-16
70243,2022_2023,5000000,NULL,2022-06-09
70243,2022_2023,4000000,NULL,2022-11-09
70285,2022_2023,1200000,NULL,2022-06-09
70285,2022_2023,1200000,NULL,2022-11-09
72792,2022_2023,2300000,NULL,2022-06-09
72792,2022_2023,2000000,NULL,2022-11-09
73013,2024_2025,125000,NULL,2024-01-08
73013,2024_2025,125000,NULL,2024-06-18
73013,2024_2025,100000,NULL,2024-12-16
73517,2022_2023,700000,NULL,2022-05-13
73517,2022_2023,600000,NULL,2022-10-07
73517,2022_2023,600000,NULL,2022-11-09
74842,2022_2023,12000000,NULL,2022-01-05
74842,2022_2023,10000000,NULL,2022-06-08
74842,2022_2023,13000000,NULL,2022-11-09
74842,2023_2024,12000000,NULL,2023-06-22
74842,2023_2024,9000000,NULL,2023-10-18
74842,2023_2024,7000000,NULL,2023-12-14
74842,2024_2025,5500000,NULL,2024-05-29
74842,2024_2025,5000000,NULL,2024-12-20
74842,2025_2026,4000000,NULL,2025-06-05
74842,2025_2026,3500000,NULL,2025-12-19
75489,2022_2023,2500000,NULL,2022-03-23
75489,2022_2023,3000000,NULL,2022-06-16
