tm_id,full_name_tm,date_of_birth,club_name,shirt_number,season,market_value_eur,last_updated
659459,"Carney Chukwuemeka",2003-10-20,"Borussia Dortmund",17,2023/2024,20000000,2026-05-27
796297,"Jobe Bellingham",2005-09-23,"Borussia Dortmund",7,2023/2024,40000000,2026-05-27
819215,"Julien Duranville",2006-05-05,"Borussia Dortmund",NULL,2023/2024,6000000,2026-06-02
866579,"Cole Campbell",2006-02-20,"Borussia Dortmund",NULL,2023/2024,5000000,2026-05-27
257814,"Gregor Kobel",1997-12-06,"Borussia Dortmund",1,2023/2024,40000000,2026-05-27
627228,"Yan Couto",2002-06-03,"Borussia Dortmund",2,2023/2024,17000000,2026-05-27
1074990,"Luca Reggiani",2008-01-09,"Borussia Dortmund",49,2023/2024,10000000,2026-05-27
505653,"Fábio Silva",2002-07-19,"Borussia Dortmund",21,2023/2024,22000000,2026-05-27
1058359,"Samuele Inácio",2008-04-02,"Borussia Dortmund",40,2023/2024,15000000,2026-05-27
1141179,"Mussa Kaba",2008-11-17,"Borussia Dortmund",NULL,2023/2024,200000,2026-06-17
284732,"Ramy Bensebaini",1995-04-16,"Borussia Dortmund",5,2023/2024,7000000,2026-05-27
883007,"Filippo Mane",2005-03-08,"Borussia Dortmund",39,2023/2024,2500000,2026-05-27
448705,"Diant Ramaj",2001-09-19,"Borussia Dortmund",NULL,2023/2024,7000000,2026-05-27
884810,"Kjell Wätjen",2006-02-16,"Borussia Dortmund",NULL,2023/2024,2500000,2026-06-01
270541,"Serhou Guirassy",1996-03-12,"Borussia Dortmund",9,2023/2024,32000000,2026-05-27
684116,"Silas Ostrzinski",2003-11-19,"Borussia Dortmund",31,2023/2024,200000,2025-12-19
884820,"Almugera Kabar",2006-06-06,"Borussia Dortmund",42,2023/2024,3000000,2026-05-27
579287,"Daniel Svensson",2002-02-12,"Borussia Dortmund",24,2023/2024,22000000,2026-05-27
578392,"Maximilian Beier",2002-10-17,"Borussia Dortmund",14,2023/2024,40000000,2026-05-27
496094,"Karim Adeyemi",2002-01-18,"Borussia Dortmund",27,2023/2024,40000000,2026-05-27
1185507,"Justin Lerma",2008-05-05,"Borussia Dortmund",NULL,2023/2024,3200000,2026-06-03
370789,"Julian Ryerson",1997-11-17,"Borussia Dortmund",26,2023/2024,25000000,2026-05-27
388198,"Nico Schlotterbeck",1999-12-01,"Borussia Dortmund",4,2023/2024,55000000,2026-05-27
106987,"Marcel Sabitzer",1994-03-17,"Borussia Dortmund",20,2023/2024,6000000,2026-05-27
193004,"Waldemar Anton",1996-07-20,"Borussia Dortmund",3,2023/2024,18000000,2026-05-27
94192,"Patrick Drewes",1993-02-04,"Borussia Dortmund",30,2023/2024,300000,2026-05-27
406640,"Felix Nmecha",2000-10-10,"Borussia Dortmund",8,2023/2024,50000000,2026-05-27
1075577,"Joane Gadou",2007-01-17,"Borussia Dortmund",NULL,2023/2024,20000000,2026-05-26
76158,"Alexander Meyer",1991-04-13,"Borussia Dortmund",33,2023/2024,500000,2026-05-27
232320,"Atakan Karazor",1996-10-13,"VfB Stuttgart",16,2023/2024,8000000,2026-05-27
1030528,"Tim van der Leij",2006-03-06,"VfB Stuttgart",NULL,2023/2024,400000,2026-05-21
448258,"Josha Vagnoman",2000-12-11,"VfB Stuttgart",4,2023/2024,10000000,2026-05-27
654982,"Bilal El Khannouss",2004-05-10,"VfB Stuttgart",11,2023/2024,35000000,2026-05-27
971663,"Jeremy Arévalo",2005-03-19,"VfB Stuttgart",25,2023/2024,7000000,2026-05-27
170517,"Marius Funk",1996-01-01,"VfB Stuttgart",NULL,2023/2024,300000,2026-05-29
539798,"Luca Jaquez",2003-06-02,"VfB Stuttgart",14,2023/2024,10000000,2026-05-27
344598,"Dan-Axel Zagadou",1999-06-03,"VfB Stuttgart",23,2023/2024,2000000,2026-05-27
272278,"Chris Führich",1998-01-09,"VfB Stuttgart",10,2023/2024,12000000,2026-05-27
616344,"Tiago Tomás",2002-06-16,"VfB Stuttgart",8,2023/2024,15000000,2026-05-27
711969,"Lorenz Assignon",2000-06-22,"VfB Stuttgart",22,2023/2024,9000000,2026-05-27
400546,"Nikolas Nartey",2000-02-22,"VfB Stuttgart",28,2023/2024,10000000,2026-05-27
720162,"Justin Diehl",2004-11-27,"VfB Stuttgart",17,2023/2024,1200000,2026-05-29
282660,"Maximilian Mittelstädt",1997-03-18,"VfB Stuttgart",7,2023/2024,18000000,2026-05-27
707242,"Badredine Bouanani",2004-12-08,"VfB Stuttgart",27,2023/2024,10000000,2026-05-27
234029,"Grischa Prömel",1995-01-09,"VfB Stuttgart",NULL,2023/2024,3500000,2026-05-27
800946,"Dennis Seimen",2005-12-01,"VfB Stuttgart",NULL,2023/2024,10000000,2026-06-01
943795,"Jovan Milosevic",2005-07-31,"VfB Stuttgart",NULL,2023/2024,7000000,2026-05-27
620598,"Ameen Al-Dakhil",2002-03-06,"VfB Stuttgart",2,2023/2024,3000000,2026-05-27
948279,"Chema Andrés",2005-04-25,"VfB Stuttgart",30,2023/2024,20000000,2026-05-27
443710,"Angelo Stiller",2001-04-04,"VfB Stuttgart",6,2023/2024,45000000,2026-05-27
507345,"Leonidas Stergiou",2002-03-03,"VfB Stuttgart",NULL,2023/2024,2500000,2026-05-27
924117,"Finn Jeltsch",2006-07-17,"VfB Stuttgart",29,2023/2024,35000000,2026-05-27
436064,"Ramon Hendriks",2001-07-18,"VfB Stuttgart",3,2023/2024,25000000,2026-05-27
897505,"Lazar Jovanovic",2006-11-30,"VfB Stuttgart",45,2023/2024,3500000,2026-05-27
335457,"Ermedin Demirovic",1998-03-25,"VfB Stuttgart",9,2023/2024,22000000,2026-05-27
388067,"Stefan Drljaca",1999-04-20,"VfB Stuttgart",21,2023/2024,300000,2026-05-27
187624,"Fabian Bredlow",1995-03-02,"VfB Stuttgart",1,2023/2024,700000,2026-05-27
518505,"Jamie Leweling",2001-02-26,"VfB Stuttgart",18,2023/2024,40000000,2026-05-27
1131117,"Mirza Catovic",2007-05-01,"VfB Stuttgart",35,2023/2024,4000000,2026-05-29
339314,"Deniz Undav",1996-07-19,"VfB Stuttgart",26,2023/2024,22000000,2026-05-27
303219,"Jeff Chabot",1998-02-12,"VfB Stuttgart",24,2023/2024,15000000,2026-05-27
692368,"Younes Ebnoutalib",2003-09-13,"Eintracht Frankfurt",11,2023/2024,8000000,2026-05-27
744857,"Elias Baum",2005-10-26,"Eintracht Frankfurt",2,2023/2024,4000000,2026-05-27
