tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,1991-06-19,"Sturm - Hängende Spitze",2022_2023,35
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,1991-06-19,"Sturm - Hängende Spitze",2023_2024,35
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,1991-06-19,"Sturm - Hängende Spitze",2024_2025,35
46580,NULL,"TSG 1899 Hoffenheim",27,AndrejKramaric,1991-06-19,"Sturm - Hängende Spitze",2025_2026,35
47587,NULL,"Borussia Mönchengladbach",24,TonyJantschke,1990-04-07,"Abwehr - Rechter Verteidiger",2022_2023,36
47587,NULL,"Borussia Mönchengladbach",24,TonyJantschke,1990-04-07,"Abwehr - Rechter Verteidiger",2023_2024,36
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,1989-11-24,Torwart,2022_2023,36
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,1989-11-24,Torwart,2023_2024,36
48015,NULL,"Bayer 04 Leverkusen",1,LukasHradecky,1989-11-24,Torwart,2024_2025,36
48298,NULL,"Borussia Mönchengladbach",13,LarsStindl,1988-08-26,"Mittelfeld - Offensives Mittelfeld",2022_2023,37
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,1990-03-29,"Abwehr - Rechter Verteidiger",2022_2023,36
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,1990-03-29,"Abwehr - Rechter Verteidiger",2023_2024,36
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,1990-03-29,"Abwehr - Rechter Verteidiger",2024_2025,36
49723,NULL,"Eintracht Frankfurt",22,TimothyChandler,1990-03-29,"Abwehr - Rechter Verteidiger",2025_2026,36
50512,NULL,"1.FC Köln",NULL,AnthonyModeste,1988-04-14,"Sturm - Mittelstürmer",2022_2023,38
51676,NULL,"TSG 1899 Hoffenheim",4,ErminBicakcic,1990-01-24,"Abwehr - Innenverteidiger",2022_2023,36
52348,NULL,"TSG 1899 Hoffenheim",NULL,BenjaminHübner,1989-07-04,"Abwehr - Innenverteidiger",2022_2023,37
53400,NULL,"FC Schalke 04",24,DominickDrexler,1990-05-26,"Mittelfeld - Offensives Mittelfeld",2022_2023,36
53400,NULL,"FC Schalke 04",24,DominickDrexler,1990-05-26,"Mittelfeld - Offensives Mittelfeld",2023_2024,36
53400,NULL,"FC Schalke 04",NULL,DominickDrexler,1990-05-26,"Mittelfeld - Offensives Mittelfeld",2024_2025,36
53418,NULL,"RB Leipzig",44,KevinKampl,1990-10-09,"Mittelfeld - Zentrales Mittelfeld",2022_2023,35
53418,NULL,"RB Leipzig",44,KevinKampl,1990-10-09,"Mittelfeld - Zentrales Mittelfeld",2023_2024,35
53418,NULL,"RB Leipzig",44,KevinKampl,1990-10-09,"Mittelfeld - Zentrales Mittelfeld",2024_2025,35
53418,NULL,"RB Leipzig",NULL,KevinKampl,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026,NULL
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,1990-06-02,Torwart,2022_2023,36
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,1990-06-02,Torwart,2023_2024,36
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,1990-06-02,Torwart,2024_2025,36
55089,NULL,"TSG 1899 Hoffenheim",1,OliverBaumann,1990-06-02,Torwart,2025_2026,36
55099,NULL,"SC Freiburg",27,NicolasHöfler,1990-03-09,"Mittelfeld - Defensives Mittelfeld",2022_2023,36
55099,NULL,"SC Freiburg",27,NicolasHöfler,1990-03-09,"Mittelfeld - Defensives Mittelfeld",2023_2024,36
55099,NULL,"SC Freiburg",27,NicolasHöfler,1990-03-09,"Mittelfeld - Defensives Mittelfeld",2024_2025,36
55099,NULL,"SC Freiburg",27,NicolasHöfler,1990-03-09,"Mittelfeld - Defensives Mittelfeld",2025_2026,36
55597,NULL,"SV 07 Elversberg",13,MarcelCorreia,1989-05-16,"Abwehr - Innenverteidiger",2022_2023,37
55597,NULL,"SV 07 Elversberg",13,MarcelCorreia,1989-05-16,"Abwehr - Innenverteidiger",2023_2024,37
57051,NULL,"TSG 1899 Hoffenheim",16,SebastianRudy,1990-02-28,"Mittelfeld - Defensives Mittelfeld",2022_2023,36
57071,NULL,"RB Leipzig",1,PéterGulácsi,1990-05-06,Torwart,2022_2023,36
57071,NULL,"RB Leipzig",1,PéterGulácsi,1990-05-06,Torwart,2023_2024,36
57071,NULL,"RB Leipzig",1,PéterGulácsi,1990-05-06,Torwart,2024_2025,36
57071,NULL,"RB Leipzig",1,PéterGulácsi,1990-05-06,Torwart,2025_2026,36
57845,NULL,"FC Augsburg",5,TobiasStrobl,1990-05-12,"Mittelfeld - Defensives Mittelfeld",2022_2023,36
57990,NULL,"SV 07 Elversberg",4,KevinConrad,1990-08-10,"Abwehr - Innenverteidiger",2022_2023,35
57990,NULL,"SV 07 Elversberg",4,KevinConrad,1990-08-10,"Abwehr - Innenverteidiger",2023_2024,35
58358,NULL,"FC Bayern München",25,ThomasMüller,1989-09-13,"Sturm - Hängende Spitze",2022_2023,36
58358,NULL,"FC Bayern München",25,ThomasMüller,1989-09-13,"Sturm - Hängende Spitze",2023_2024,36
58358,NULL,"FC Bayern München",25,ThomasMüller,1989-09-13,"Sturm - Hängende Spitze",2024_2025,36
58396,NULL,"SV Werder Bremen",36,ChristianGroß,1989-02-08,"Mittelfeld - Defensives Mittelfeld",2022_2023,37
58396,NULL,"SV Werder Bremen",36,ChristianGroß,1989-02-08,"Mittelfeld - Defensives Mittelfeld",2023_2024,37
58995,NULL,"SV Werder Bremen",3,AnthonyJung,1991-11-03,"Abwehr - Innenverteidiger",2022_2023,34
58995,NULL,"SV Werder Bremen",3,AnthonyJung,1991-11-03,"Abwehr - Innenverteidiger",2023_2024,34
58995,NULL,"SV Werder Bremen",3,AnthonyJung,1991-11-03,"Abwehr - Innenverteidiger",2024_2025,34
58995,NULL,"SC Freiburg",5,AnthonyJung,1991-11-03,"Abwehr - Innenverteidiger",2025_2026,34
60957,NULL,"FC Schalke 04",40,SebastianPolter,1991-04-01,"Sturm - Mittelstürmer",2022_2023,35
60957,NULL,"FC Schalke 04",40,SebastianPolter,1991-04-01,"Sturm - Mittelstürmer",2023_2024,35
60957,NULL,"FC Schalke 04",NULL,SebastianPolter,NULL,"Sturm - Mittelstürmer",2024_2025,NULL
61087,NULL,"Bayer 04 Leverkusen",38,KarimBellarabi,1990-04-08,"Sturm - Rechtsaußen",2022_2023,36
61758,NULL,"SV 07 Elversberg",30,KevinKoffi,1986-06-25,"Sturm - Mittelstürmer",2022_2023,40
61758,NULL,"SV 07 Elversberg",30,KevinKoffi,1986-06-25,"Sturm - Mittelstürmer",2023_2024,40
69392,NULL,"SC Paderborn 07",39,AdrianoGrimaldi,1991-04-05,"Sturm - Mittelstürmer",2023_2024,35
69392,NULL,"SC Paderborn 07",39,AdrianoGrimaldi,1991-04-05,"Sturm - Mittelstürmer",2024_2025,35
69392,NULL,"SC Paderborn 07",NULL,AdrianoGrimaldi,NULL,"Sturm - Mittelstürmer",2025_2026,NULL
70243,NULL,"RB Leipzig",23,MarcelHalstenberg,1991-09-27,"Abwehr - Innenverteidiger",2022_2023,34
70285,NULL,"SC Freiburg",7,JonathanSchmid,1990-06-22,"Mittelfeld - Rechtes Mittelfeld",2022_2023,36
72792,NULL,"1.FC Union Berlin",23,NikoGießelmann,1991-09-26,"Abwehr - Linker Verteidiger",2022_2023,34
73013,NULL,"FC Schalke 04",NULL,Pierre-MichelLasogga,NULL,"Sturm - Mittelstürmer",2024_2025,NULL
73517,NULL,"RB Leipzig",13,ØrjanNyland,1990-09-10,Torwart,2022_2023,35
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,1992-06-03,"Mittelfeld - Offensives Mittelfeld",2022_2023,34
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,1992-06-03,"Mittelfeld - Offensives Mittelfeld",2023_2024,34
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,1992-06-03,"Mittelfeld - Offensives Mittelfeld",2024_2025,34
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,1992-06-03,"Mittelfeld - Offensives Mittelfeld",2025_2026,34
75489,NULL,"SV Werder Bremen",11,NiclasFüllkrug,1993-02-09,"Sturm - Mittelstürmer",2022_2023,33
75489,NULL,"SV Werder Bremen",11,NiclasFüllkrug,1993-02-09,"Sturm - Mittelstürmer",2023_2024,33
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,1987-02-24,"Abwehr - Rechter Verteidiger",2022_2023,39
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,1987-02-24,"Abwehr - Rechter Verteidiger",2023_2024,39
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,1987-02-24,"Abwehr - Rechter Verteidiger",2024_2025,39
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,1987-02-24,"Abwehr - Rechter Verteidiger",2025_2026,39
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,1991-04-13,Torwart,2022_2023,35
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,1991-04-13,Torwart,2023_2024,35
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,1991-04-13,Torwart,2024_2025,35
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,1991-04-13,Torwart,2025_2026,35
78339,NULL,"FC Augsburg",1,RafałGikiewicz,1987-10-26,Torwart,2022_2023,38
